X_Type,Y_Type,Num_Entries_X,Num_Entries_Y,Normalized Range (X),Normalized Range (Y),Num_Unique_X,Num_Unique_Y,Has_None_X,Num_None_X,Percentage_None_X,Has_None_Y,Num_None_Y,Percentage_None_Y,Normalized Mean (X),Normalized Median (X),Sample Variance (X),Sample Standard Deviation (X),Coefficient of Variation (X),Minimum Value (X),Maximum Value (X),Normalized Mean (Y),Normalized Median (Y),Sample Variance (Y),Sample Standard Deviation (Y),Coefficient of Variation (Y),Minimum Value (Y),Maximum Value (Y),Mean C (X),Median C (X),Min C (X),Max C (X),Std C (X),Unique C (X),Mean C (Y),Median C (Y),Min C (Y),Max C (Y),Std C (Y),Unique C (Y),Num Identical Elements,Has Shared Elements,Percent Shared Elements,Identical,Num Shared Unique Elements,Has Shared Unique Elements,Percent Shared Unique Elements,Identical Unique,Correlation Value,Correlation P,Ks Statistic,Ks P,Correlation Significant 005,Ks Significant 005,Q Entropy (X),Q Entropy (Y),C Entropy (X),C Entropy (Y),Perc Mode (X),Perc Mode (Y),Kurtosis (X),Skewness (X),Kurtosis (Y),Skewness (Y),% Outliers (1.5 IQR) (X),% Outliers (3 IQR) (X),% Outliers (1-99 Percentile) (X),% Outliers (3 Std Dev) (X),Has Outliers (1.5 IQR) (X),Has Outliers (3 IQR) (X),Has Outliers (1-99 Percentile) (X),Has Outliers (3 Std Dev) (X),% Outliers (1.5 IQR) (Y),% Outliers (3 IQR) (Y),% Outliers (1-99 Percentile) (Y),% Outliers (3 Std Dev) (Y),Has Outliers (1.5 IQR) (Y),Has Outliers (3 IQR) (Y),Has Outliers (1-99 Percentile) (Y),Has Outliers (3 Std Dev) (Y),Sortedness (X),Is Sorted (X),Sortedness (Y),Is Sorted (Y),Plot_Type
q,q,18,18,0.008485150985774894,1.3675366464068646,18,17,False,0,0.0,False,0,0.0,0.9957753479125249,0.9957753479125249,26.916666666666668,5.188127472091127,74.43343653250774,1995.0,2012.0,0.5787295675563832,0.46461824953445063,22701.728395061727,150.67092750448484,0.013689608666333123,112.0,537.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.9114039456113215,1.441189874630965e-07,1.0,2.2038238923005368e-10,True,True,2.890368405051316,2.769467552051567,,,,,-1.2074303405572755,0.0,-1.5532533404004625,0.19450483672451732,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,True,True,True,False,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,True,True,True,False,1.0,True,0.9595087120140962,False,bar
q,q,5,5,1.8390804597701151,0.5102040816326531,5,4,False,0,0.0,False,0,0.0,0.5209580838323353,0.5209580838323353,1.9999999999999996,1.414213562373095,1.0875000000000001,0.175,4.175,0.84,0.8571428571428571,31.439999999999998,5.607138307550474,0.935114503816794,20.0,35.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.3531032906137228,0.5599404649048981,1.0,0.007936507936507936,False,True,1.3557390395931717,1.590347371762952,,,,,-1.2999999999999996,2.512147933894041e-16,-1.0155876697162174,-0.5592652955203009,0.8,0.8,0.8,0.8,True,True,True,False,0.8,0.8,0.8,0.8,True,True,True,False,1.0,True,0.5928753180661578,False,bar
q,q,4,4,1.2,2.0,4,4,False,0,0.0,False,0,0.0,0.625,0.625,1.25,1.118033988749895,2.0,1.0,4.0,0.46875,0.40625,32.25,5.678908345800274,0.23255813953488372,1.0,16.0,,,,,,,,,,,,,1,True,0.25,0.25,2,True,0.5,False,0.9843740386976971,0.01562596130230287,0.5,0.7714285714285716,True,False,1.2798542258336676,1.078476775117421,,,,,-1.36,0.0,-1.278889489814314,0.4095120494537785,0.75,0.75,0.75,0.75,True,True,True,False,0.75,0.75,0.75,0.75,True,True,True,False,1.0,True,1.0,True,bar
q,q,4,4,1.2,1.894736842105263,4,4,False,0,0.0,False,0,0.0,0.625,0.625,1.25,1.118033988749895,2.0,1.0,4.0,0.475,0.4,1118.75,33.44772040064913,0.042458100558659215,10.0,100.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,-0.1671315676162189,0.8328684323837812,1.0,0.028571428571428577,False,True,1.2798542258336676,1.1355506971603728,,,,,-1.36,0.0,-1.06881807683905,0.5787402450023369,0.75,0.75,0.75,0.75,True,True,True,False,0.75,0.75,0.75,0.75,True,True,True,False,1.0,True,0.3631284916201116,False,bar
c,q,6,6,,0.9863013698630138,6,4,False,0,0.0,False,0,0.0,,,,,,,,0.6083333333333333,0.6,16.13888888888889,4.017323597731316,0.7538726333907056,8.0,20.0,5.166666666666667,5.5,3.0,7.0,1.3437096247164249,6.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,1.7402154496433337,1.791759469228055,,0.16666666666666666,,,,-0.2046741181593843,0.8651572790123147,,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,,False,0.9999999999999998,True,bar
c,q,3,3,,0.47368421052631576,3,3,False,0,0.0,False,0,0.0,,,,,,,,0.8260869565217391,0.8695652173913043,14.0,3.7416573867739413,1.3571428571428572,14.0,23.0,9.0,9.0,9.0,9.0,0.0,3.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,1.07852819674571,1.0986122886681096,,0.3333333333333333,,,,-1.5,-0.3818017741606063,,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,,True,0.1428571428571429,False,bar
q,q,19,19,1.8,4.609835653749025,19,19,False,0,0.0,False,0,0.0,0.5263157894736842,0.5263157894736842,30.0,5.477225575051661,0.3333333333333333,1.0,19.0,0.2140313900253952,0.13692966137236134,0.0017149031639224377,0.041411389302007696,23.212297313752902,0.002483,0.185986,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.38316181395604976,0.10538750532382508,1.0,5.6584667505013764e-11,False,True,2.7749844180583527,2.5464219910070662,,,,,-1.2066666666666668,0.0,5.491073432869953,2.350386920704245,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,True,True,True,False,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,True,True,True,True,0.9999999999999999,True,0.8326638636082073,False,bar
c,q,10,10,,1.121672966118877,10,10,False,0,0.0,False,0,0.0,,,,,,,,0.5867356932746407,0.5129470579097465,6189008.929356001,2487.7718804898495,0.0011412243996770169,4115.44,12037.87,25.3,27.0,9.0,39.0,11.03675676999362,10.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.2433789746414003,2.3025850929940455,,0.1,,,,-0.6946620299401394,0.7184069405746561,,,,,,,,,0.9,0.9,0.9,0.9,True,True,True,False,,False,0.8611312891575629,False,bar
q,c,51,51,1.522808683627397,,50,51,False,0,0.0,False,0,0.0,0.4781159264437036,0.4401787527930124,4945674.364475201,2223.887219369544,0.0014277717450158795,4016.0,14769.0,,,,,,,,,,,,,,8.666666666666666,8.0,4.0,20.0,3.0464808799061887,51.0,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,3.885686020983799,,,3.9318256327243253,,0.0196078431372549,1.214915402243621,1.132884235863405,,,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9803921568627451,True,True,True,True,,,,,,,,,0.994903536075597,False,,False,bar
d,q,500,500,,4.195804195804196,500,7,False,0,0.0,False,0,0.0,,,,,,,,0.20428571428571426,0.14285714285714285,0.6491,0.8056674251823763,2.203050377445694,1.0,7.0,19.0,19.0,19.0,19.0,0.0,500.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,6.09177512219437,6.214608098422188,,0.002,,,,8.697306375482015,2.5339552337749214,,,,,,,,,0.294,0.294,0.294,0.294,True,True,True,True,,,0.02018179017100601,False,bar
c,q,10,10,,1.1199978250230516,10,10,False,0,0.0,False,0,0.0,,,,,,,,0.5872797116149688,0.5135846663229208,6328198896.213776,79549.97734892057,3.572879925365134e-05,131763.3,384993.63,25.3,27.0,9.0,39.0,11.03675676999362,10.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.2434903775372677,2.3025850929940455,,0.1,,,,-0.6998273062358389,0.7155449712973618,,,,,,,,,0.9,0.9,0.9,0.9,True,True,True,False,,False,0.8619196318834772,False,bar
c,q,24,24,,6.30071599045346,24,22,False,0,0.0,False,0,0.0,,,,,,,,0.27278645833333337,0.1953125,6.604149305555556,2.5698539463470595,0.2643540072397667,-4.6,6.4,7.0,7.0,7.0,7.0,0.0,24.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.589060225294755,3.1780538303479453,,0.041666666666666664,,,,-0.15373148131164527,-0.0585509128417405,,,,,,,,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,True,True,True,False,,False,0.6167865846124726,False,bar
c,q,12,12,,0.75,12,10,False,0,0.0,False,0,0.0,,,,,,,,0.6933333333333332,0.66,12.555555555555557,3.5433819375782165,1.3805309734513271,12.0,25.0,6.166666666666667,6.5,3.0,9.0,1.8633899812498247,12.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.4645514868320575,2.484906649788001,,0.08333333333333333,,,,-0.3148249667162659,0.6235397614330225,,,,,,,,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,True,True,True,False,,False,0.4336283185840708,False,bar
q,q,62,62,1.0082644628099173,4.287234042553192,62,12,False,0,0.0,False,0,0.0,0.6648351648351648,0.6648351648351648,320.25,17.89553016817328,0.18891491022638562,30.0,91.0,0.23325062034739455,0.15384615384615385,9.740894901144644,3.1210406759836764,0.31129152868283294,0.0,13.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,-0.09818456707932358,0.44772712040755946,1.0,1.3150943098036518e-36,False,True,4.082142585132544,3.5690065159399,,,,,-1.200624512099922,0.0,0.5947818628180714,1.0714334041605857,0.9838709677419355,0.967741935483871,0.9838709677419355,0.9838709677419355,True,True,True,False,0.7258064516129032,0.7258064516129032,0.7258064516129032,0.7258064516129032,True,True,True,True,1.0,True,0.29484029484029484,False,bar
q,q,3,3,1.3333333333333333,2.0,3,3,False,0,0.0,False,0,0.0,0.6,0.6,0.6666666666666666,0.816496580927726,2.25,0.5,2.5,0.5,0.5,0.6666666666666666,0.816496580927726,1.5,0.0,2.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.4999999999999999,0.6666666666666669,0.3333333333333333,1.0,False,False,0.9368883075390159,0.6365141682948128,,,,,-1.5,0.0,-1.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,0.9999999999999998,True,0.4999999999999999,False,bar
c,q,3,3,,0.47368421052631576,3,3,False,0,0.0,False,0,0.0,,,,,,,,0.8260869565217391,0.8695652173913043,14.0,3.7416573867739413,1.3571428571428572,14.0,23.0,8.333333333333334,8.0,7.0,10.0,1.247219128924647,3.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,1.07852819674571,1.0986122886681096,,0.3333333333333333,,,,-1.5,-0.3818017741606063,,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,,False,0.1428571428571429,False,bar
c,q,10,10,,1.5456726195902963,10,10,False,0,0.0,False,0,0.0,,,,,,,,0.4818248621708613,0.34426666400058487,18159521.041048996,4261.39895351855,0.00042461962419437115,4085.0,16003.51,8.0,8.0,3.0,12.0,2.449489742783178,10.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.1646841241448307,2.3025850929940455,,0.1,,,,-0.85940004567719,0.9372286555800463,,,,,,,,,0.9,0.9,0.9,0.9,True,True,True,False,,False,0.6165826053193199,False,bar
c,q,10,10,,1.8321076178060323,10,10,False,0,0.0,False,0,0.0,,,,,,,,0.422261792196639,0.3148012198082513,9899161.511041,3146.293297046701,0.0005851128899694957,3105.11,13716.91,21.8,18.5,9.0,42.0,11.408768557561329,10.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.1772930461879434,2.3025850929940455,,0.1,,,,1.2342826061092484,1.5115351816848155,,,,,,,,,0.9,0.9,0.9,0.9,True,True,True,False,,False,0.5661336380458404,False,bar
q,q,5,5,2.0930232558139537,1.3333333333333333,5,5,False,0,0.0,False,0,0.0,0.43,0.3,10.36,3.2186953878862163,0.41505791505791506,1.0,10.0,0.6,0.6,8.0,2.8284271247461903,0.75,2.0,10.0,,,,,,,,,,,,,0,False,0.0,0.0,2,True,0.4,False,-0.9446557666020556,0.015499006399908527,0.4,0.873015873015873,True,False,1.3432112298138026,1.4897503188505912,,,,,-0.7506559234358461,0.8194163844699225,-1.3,0.0,0.8,0.8,0.8,0.8,True,True,True,False,0.8,0.8,0.8,0.8,True,True,True,False,1.0,True,1.0,False,bar
q,q,5,5,1.8285714285714285,3.7481146304675717,5,5,False,0,0.0,False,0,0.0,0.5223880597014925,0.5223880597014925,2.0,1.4142135623730951,1.09375,0.1875,4.1875,0.2652,0.1,34939.03999999999,186.91987588268935,0.003795181550494805,3.0,500.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.44184745818268223,0.45630504077131856,0.8,0.07936507936507936,False,False,1.3595581316924767,0.78072083350825,,,,,-1.3,0.0,0.07618548294588434,1.3773167003703104,0.8,0.8,0.8,0.8,True,True,True,False,0.8,0.8,0.8,0.8,True,True,True,False,1.0,True,0.04467667113921844,False,bar
q,c,4,4,2.6596034508854247,,4,4,False,0,0.0,False,0,0.0,0.3753977272727273,0.25,780433546875.0,883421.5001204126,1.0582259095690543e-06,3500.0,2200000.0,,,,,,,,,,,,,,10.75,10.0,8.0,15.0,2.947456530637899,4.0,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,0.7455939214736408,,,1.3862943611198906,,0.25,-1.234502377616837,0.6023977283859738,,,0.75,0.75,0.75,0.75,True,True,True,False,,,,,,,,,0.8049622138111654,False,,True,bar
q,q,8,8,1.8260869565217392,1.2017167381974247,8,7,False,0,0.0,False,0,0.0,0.5227272727272727,0.5227272727272727,5.250000000000001,2.2912878474779204,0.7301587301587301,0.3333333333333333,7.333333333333334,0.5825,0.55,5.301875,2.3025800746119556,1.0986679240834611,3.0,10.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.07344754990177477,0.8627803123275506,0.375,0.6601398601398599,False,False,1.871294716193725,2.0014913293727297,,,,,-1.2380952380952384,2.9533930803824616e-16,-0.9391272299194089,0.39110394685646804,0.875,0.875,0.875,0.875,True,True,True,False,0.75,0.75,0.75,0.75,True,True,True,False,1.0,True,0.07438406224213132,False,bar
q,q,117,95,0.6940119227689296,-25.152457372116345,117,73,False,0,0.0,False,0,0.0,0.7583670715249663,0.7763157894736842,34809993.42537804,5899.999442828621,0.0010348302987949988,22500.0,47500.0,0.0,0.0,2141746.2590401047,1463.4706211742362,-0.0002625942517870065,-14146.0,0.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.08085946251202956,0.38612914521260683,1.0,1.3904099465859391e-69,False,True,4.748324390928718,,,,,,-0.618430752472825,-0.37807981460607176,61.10318423257071,-7.150279410578824,0.9829059829059829,0.9743589743589743,0.9829059829059829,0.9829059829059829,True,True,True,False,0.0,0.0,0.0,0.0,False,False,True,True,1.0,True,0.05250444679135573,False,bar
q,c,51,51,1.5808731819649877,,51,51,False,0,0.0,False,0,0.0,0.46343897206372153,0.43027369204989757,5533245.610918877,2352.28518911268,0.0013495500980703213,4308.0,16113.0,,,,,,,,,,,,,,8.352941176470589,8.0,4.0,14.0,2.6629154700180324,51.0,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,3.8858594834642637,,,3.9318256327243253,,0.0196078431372549,1.82705417508679,1.2180874491128084,,,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9803921568627451,True,True,True,True,,,,,,,,,0.9948938205377535,False,,False,bar
q,q,10,10,1.717161128287501,2.0,10,10,False,0,0.0,False,0,0.0,0.5445310335666789,0.6413324774003184,0.11023875309777623,0.3320222177773292,4.879493156978895,0.06416261873771312,0.9878394585725976,0.5,0.5,8.25,2.8722813232690143,0.5454545454545454,0.0,9.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.5490205706072786,0.10025056611394666,0.9,0.00021650176448938054,False,True,2.073759843349779,2.0498407203926647,,,,,-1.4780820260413579,-0.19487323720936495,-1.2242424242424244,0.0,0.9,0.9,0.9,0.9,True,True,True,False,0.9,0.9,0.9,0.9,True,True,True,False,0.5214684409540755,False,1.0,True,bar
q,q,3,3,0.0009915716410510659,0.3333333333333333,3,3,False,0,0.0,False,0,0.0,0.9995044598612488,0.9995044598612488,0.6666666666666666,0.816496580927726,3025.5,2016.0,2018.0,0.8571428571428571,0.8571428571428571,6666.666666666667,81.64965809277261,0.09,500.0,700.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.9999999999999998,1.3415758552508151e-08,1.0,0.09999999999999999,True,False,1.0986122067335797,1.0893096789558299,,,,,-1.5,0.0,-1.5000000000000002,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,0.9999999999999998,True,0.9999999999999998,True,bar
c,q,12,12,,0.75,12,10,False,0,0.0,False,0,0.0,,,,,,,,0.6933333333333332,0.66,12.555555555555557,3.5433819375782165,1.3805309734513271,12.0,25.0,3.0,3.0,3.0,3.0,0.0,12.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.4645514868320575,2.484906649788001,,0.08333333333333333,,,,-0.3148249667162659,0.6235397614330225,,,,,,,,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,True,True,True,False,,False,0.4336283185840708,False,bar
c,q,10,10,,2.590683746021945,10,10,False,0,0.0,False,0,0.0,,,,,,,,0.33397433660378356,0.18461550605565083,43811629.080869004,6619.035358786732,0.00018348527933443717,3244.12,24070.08,9.9,8.5,3.0,20.0,4.437341546466759,10.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.027073218400353,2.3025850929940455,,0.1,,,,0.8216025036139807,1.4857255660668378,,,,,,,,,0.9,0.9,0.9,0.9,True,True,True,False,,False,0.47669897661579363,False,bar
c,q,10,10,,1.5458301065495927,10,10,False,0,0.0,False,0,0.0,,,,,,,,0.48180580130012873,0.34433997813197464,18086703344.776962,134486.81476180837,1.3456486146784942e-05,128918.99,505148.49,8.0,8.0,3.0,12.0,2.449489742783178,10.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,2.16472117180773,2.3025850929940455,,0.1,,,,-0.859086382707642,0.9372842193299592,,,,,,,,,0.9,0.9,0.9,0.9,True,True,True,False,,False,0.6167478525505692,False,bar
d,q,3,3,,1.4,3,3,False,0,0.0,False,0,0.0,,,,,,,,0.5555555555555556,0.4444444444444444,8.666666666666666,2.943920288775949,0.576923076923077,2.0,9.0,19.0,19.0,19.0,19.0,0.0,3.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,0.9276173343271816,1.0986122886681096,,0.3333333333333333,,,,-1.4999999999999998,0.47033046033698594,,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,False,,,0.5000000000000001,False,bar
